Name,Date,Location,WebsiteURL,Description,RegistrationLink
Marketing Analytics Summit,Jun. 4–7,"Phoenix, AZ",https://marketinganalyticssummit.com/,"Ultimate gathering where digital analytics trailblazers and marketing professionals converge to master marketing data and create an impact like never before! Since 2002, they've been at the forefront of sharing marketing analytics wisdom, accelerating over 20,000 careers, and serving as the launchpad for 100 start-ups.",https://twitter.com/search?q=%23MASConf
ANA Masters of B2B Marketing Conference,Jun. 12–14,"Naples, FL",https://www.ana.net/content/show/id/ms-b2banc-jun24,"The ANA's flagship B2B event of the year moves to Naples in 2024 and promises a program packed with top client-side speakers, including CMOs from Qualcomm, Cigna Group and Northwestern Mutual, to name a few. Expect an emphasis on generative AI and dynamics of buyer behaviors topics. And if you're up for a prestigious B2 Award, here's where you'll find out if you're a winner (like @Quarry has been in past years!).",https://twitter.com/search?q=%23ANAB2B
B2B Marketing Ignite London,Jul. 3,"London, UK",https://events.b2bmarketing.net/b2bignite,"This jam-packed one-day event features a carefully curated, high-caliber agenda of speakers, workshops, breakout seminars and interactive sessions—Network with 500+ peers from 200+ top brands, gain 100s of fresh ideas from 70+ leading innovators across 8 key tracks.",https://twitter.com/search?q=%23IgniteB2B
MMA CMO & CEO Summit,Jul. 21–23,"Napa, CA",https://www.mmaglobal.com/cmosummit2024,"This exclusive, invitation-only event promises to push boundaries and challeng the status quo to unleash groundbreaking innovations while maximizing current strategies. Prepare to be inspired and motivated by stellar lineup of speakers, guaranteed to leave you energized and ready to conquer the rest of the year!",https://twitter.com/search?q=%23ShapeTheFuture
B2B Marketing Leaders Forum Asia,Aug. 21–22,"Parkroyal, Singapore",https://b2bmarketingleaders.com.au/singapore/,"Held in Singapore, this is ASIA's largest marketing conference for B2B CMOs and marketing leaders. It's focused on revenue, growth, brand, leadership and personal career advancement.",https://twitter.com/search?q=%23B2BMktgASIA
Cloud World (Oracle Eloqua),Sept. 9–12,"Las Vegas, NV",https://www.oracle.com/cloudworld/,"If you're an Oracle Eloqua customer—or agency partner, as Quarry is—then the CloudWorld Tour is an pilgrimage not to be missed.",https://twitter.com/search?q=%23OCW
Marketing Artificial Intelligence Conference (MAICON),Sept. 10–12,"Cleveland, OH",https://www.marketingaiinstitute.com/events/marketing-artificial-intelligence-conference,The Marketing Artificial Intelligence Conference (MAICON) is tailor-made for visionary marketing leaders and practitioners striving to pioneer the next wave of digital marketing evolution within their organizations. By harnessing the power of intelligent automation.,https://twitter.com/search?q=%23MAICON
Dreamforce (Salesforce),Sept. 17–19,"San Francisco, CA",https://www.salesforce.com/dreamforce/,"Dreamforce, Salesforce's flagship mega-conference, draws over 170,000 attendees annually to unite the global Salesforce community in a dynamic blend of learning, community building, and philanthropy. Attendees can immerse themselves in inspiring keynotes, discovering the future of technology while gaining strategic insights to advance their organizations and careers.",https://twitter.com/search?q=%23Dreamforce
HubSpot Inbound,Sept. 18–20,"Boston, MA",https://www.inbound.com/,"Elevate your marketing, sales, and AI game at INBOUND, HubSpot's three-day power-packed conference! Join 11,000+ attendees and learn from 200+ industry leaders through inspiring keynotes, deep-dive breakouts, and hands-on workshops.",https://twitter.com/search?q=%23INBOUND24
MarTech,Sept. 24–25,Online,https://martech.org/conference/fall/,An event designed for senior-level marketers charged with assembling marketing technology stacks and teams to deliver exceptional customer experiences and measurable results.,https://twitter.com/search?q=%23MarTechConf
B2B Marketing Expo,Oct. 9–10,"Los Angeles, CA",https://www.b2bmarketingexpo.us/,"The place to be if you want to level up your marketing game. With top-notch speakers, the latest tech demos, and loads of networking opportunities, you won't want to miss it. Plus, there are 150 exhibitors, 100 speakers, and 5,000 visitors expected.",https://twitter.com/search?q=%23B2BME
Content Marketing World,Oct. 21–23,"San Diego, CA",http://www.contentmarketingworld.com/,"Craving content marketing inspiration? This event serves it up hot! Learn from 150+ industry-leading speakers, network with fellow creators, and get the tools to future-proof your skills. It's the content community convergence you can't miss!",https://twitter.com/search?q=%23CMWorld
Global ABM Conference,Nov. 6,"London, UK",https://b2bmarketing.swoogo.com/abmglobalconference/home,"Join over 500 B2B marketers, 450+ senior leaders, and representatives from 300+ B2B brands hailing from over 25 countries at The Global ABM Conference. Immerse yourself in a dynamic environment with 50+ expert ABM speakers sharing insights and strategies across four stages.",https://twitter.com/search?q=%23ABMconf
MarketingProfs B2B Forum,Nov. 12–14,"Boston, MA",http://mpb2b.marketingprofs.com/,"B2B Forum stands as the premier destination where marketers converge to unlock the keys to driving exponential growth, enhancing brand reputation, demonstrating undeniable ROI, and effortlessly navigating the dynamic currents of the marketing landscape.",https://twitter.com/search?q=%23#MPB2B
B2B Online Europe,Dec. 4–5,"Düsseldorf, GER",https://b2bonlineeu.wbresearch.com/,"B2B Online convenes over 350 leaders in customer experience, eCommerce, and digital marketing, all dedicated to digital transformation, enhancing online revenues, elevating customer experience, and achieving digital marketing excellence.",https://twitter.com/search?q=%23#B2BOnline
